1,TRUE,500.1,0,FALSE,FALSE,TRUE,0,10-11-12-29
2,FALSE,500.1,0,FALSE,FALSE,FALSE,0,10-29
3,TRUE,150.0,0,FALSE,TRUE,FALSE,0,11-11-14-15-29
4,TRUE,75.1,0,TRUE,TRUE,FALSE,0,10-11-14-17-18-29
5,TRUE,49.9,1,FALSE,FALSE,FALSE,0,10-11-14-17-22-24-25-29
6,TRUE,50.0,1,TRUE,FALSE,FALSE,1,10-11-14-17-22-29
7,TRUE,49.9,0,TRUE,FALSE,FALSE,1,10-11-14-17-22-24-29
8,TRUE,500.0,0,FALSE,TRUE,FALSE,0,-
9,TRUE,149.9,0,TRUE,TRUE,FALSE,0,-
10,TRUE,75.0,0,TRUE,FALSE,FALSE,0,-
11,TRUE,0.0,0,TRUE,FALSE,FALSE,1,-
12,TRUE,2000.0,0,FALSE,FALSE,TRUE,0,-
